,Brand,Name,Price,Processor_Name,Processor_Brand,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD,Adapter,Battery_Life,model_name,screen_size,ram,os,customer_review
0,HP,HP Chromebook 11A-NA0002MU (2E4N0PA) Laptop (11.6 Inch | MediaTek Octa Core | 4 GB | Google Chrome |)::585119::computer::laptops,22990,MediaTek Octa-core,MediaTek,Not Expandable,4 GB , DDR4 RAM, 2.0 Ghz Processor,LED,11.6,Integrated Graphics,MediaTek,64 GB SSD Storage,No HDD,45, Upto 12 Hrs Battery Life,HP Chromebook 11A-NA0002MU,11.6,4,Chrome,"i also feel like apple hides too much under the hood from the user , but i suppose you can still work around that if you are so inclined ."
304,HP,HP Victus 15-fa0092TX (788X8PA) Laptop (15.6 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::598166::computer::laptops,66999,Intel Core i5 (12th Gen),Intel, 16 GB Expandable,16 GB , DDR4 RAM , 4.2 Ghz Processor,LCD,15.6,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,65,65W Adapter,HP Victus 15-fa0092TX,15.6,16,Windows 11,very good looking and fast laptop if only if it would stop crashing and having to reset back to default settings .
305,HP,HP Pavilion Plus 14-eh0024TU Laptop (14 Inch | Core i7 12th Gen | 16 GB | Windows 11 | 1 TB SSD)::596683::computer::laptops,89990,Intel Core i7 (12th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 4.7 Ghz Processor,LED,14,Iris Xe,Intel,1024 GB SSD Storage,No HDD,65,65W Adapter,HP Pavilion Plus 14-eh0024TU Laptop,14,16,Windows 11,"- even so those are forgivable offenses compared to the next and worst thing , the touchpad ."
306,Samsung,Samsung Galaxy Book Go Laptop (14 Inch | Snapdragon 7c Octa Core 2nd Gen | 4 GB | Windows 11 | 128 GB SSD)::594516::computer::laptops,30990,Qualcomm Snapdragon Octa-Core,Qualcomm,Not Expandable,4 GB LP, LPDDR4X RAM, 2.5 Ghz Processor,LCD,14,Adreno,Qualcomm,128 GB SSD Storage,No HDD,41,41W Adapter,Samsung Galaxy Book Go Laptop,14,4,Windows 11,i have been beyond pleased with this laptop purchase over the last 6 months of use .
307,Acer,Acer Predator Helios 300 G3-572 (NH.Q2BSI.007) Laptop (15.6 Inch | Core i5 7th Gen | 16 GB | Windows 10 | 1 TB HDD 128 GB SSD)::576944::computer::laptops,109990,Intel Core i5 (7th Gen),Intel, 32 GB Expandable,16 GB , DDR4 RAM , 2.5 Ghz Processor,LED,15.6,"GeForce GTX 1060 GPU, 6 GB",NVIDIA,128 GB SSD Storage , 1024 GB HDD Storage,180, Upto 6 Hrs Battery Life,Acer Predator Helios 300 G3-572,15.6,16,Windows 10,the screen does look good .
308,HP,HP 14s-dq2649TU (7G6H0PA) Laptop (14 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::599220::computer::laptops,42999,Intel Core i3 (11th Gen),Intel, 8 GB Expandable,8 GB , DDR4 RAM , 4.0 Ghz Processor,LCD,14,UHD,Intel,512 GB SSD Storage,No HDD,41,41W Adapter,HP 14s-dq2649TU,14,8,Windows 11,this is among the best .
309,Dell,Dell Vostro 3425 (D552305WIN9BE) Laptop (14 Inch | AMD Quad Core Ryzen 3 | 8 GB | Windows 11 | 256 GB SSD)::596981::computer::laptops,38961,AMD Quad-Core Ryzen 3,AMD, 16 GB Expandable,8 GB , DDR4 RAM , 2.7 Ghz Processor,LCD,14,Radeon,AMD,256 GB SSD Storage,No HDD,65, Upto 7 Hrs Battery Life,Dell Vostro 3425,14,8,Windows 11,"very satisfied with simplicity of use , the streamlining of the google products , and the considerable battery life ."
310,ASUS,ASUS VivoBook 14 X415EA-EK701WS Laptop (14 Inch | Core i7 11th Gen | 16 GB | Windows 11 | 512 GB SSD)::598912::computer::laptops,56990,Intel Core i7 (11th Gen),Intel, 16 GB Expandable,16 GB , DDR4 RAM , 2.8 Ghz Processor,LCD,14,Iris Xe,Intel,512 GB SSD Storage,No HDD,37, Upto 6 Hrs Battery Life,ASUS VivoBook 14 X415EA-EK701WS Laptop,14,16,Windows 11,it ' s very easy to set up and use
311,Dell,Dell Inspiron 15 3501 (D560438WIN9SE) Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 10 | 1 TB HDD 256 GB SSD)::585617::computer::laptops,47187,Intel Core i5 (11th Gen),Intel, 16 GB Expandable,8 GB , DDR4 RAM , 2.4 Ghz Processor,LED,15.6,"GeForce MX330 GPU, 2 GB",NVIDIA,256 GB SSD Storage , 1024 GB HDD Storage,no,Upto 7 Hrs Battery Life,Dell Inspiron 15 3501,15.6,8,Windows 10,"as a windows and mac user , i wasn ' t sure if i could benefit from using chromeos , but i find myself using it more than i anticipated ."
312,MSI,MSI GF63 Thin 11UCX-1497IN Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::612944::computer::laptops,42990,Intel Core i5 (11th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 4.2 Ghz Processor,LCD,15.6,"GeForce RTX 2050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,no,Not Specified,MSI GF63 Thin 11UCX-1497IN Laptop,15.6,8,Windows 11,"good durability , outstanding performance and portability ."
313,Dell,Dell Vostro 3401 (D552226WIN9BE) Laptop (14 Inch | Core i3 10th Gen | 4 GB | Windows 11 | 1 TB HDD 256 GB SSD)::597088::computer::laptops,42290,Intel Core i3 (10th Gen),Intel, 16 GB Expandable,4 GB , DDR4 RAM , 1.2 Ghz Processor,LCD,14,Integrated,Intel,256 GB SSD Storage , 1024 GB HDD Storage,65, Upto 10 Hrs Battery Life,Dell Vostro 3401,14,4,Windows 11,the screen is excellent .
314,Lenovo,Lenovo Ideapad Gaming 3 15IHU6 (82K1019AIN) Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 1 TB HDD 256 GB SSD)::596539::computer::laptops,70800,Intel Core i5 (11th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 3.1 Ghz Processor,LCD,15.6,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,256 GB SSD Storage , 1024 GB HDD Storage,170, Upto 8 Hrs Battery Life,Lenovo Ideapad Gaming 3 15IHU6,15.6,8,Windows 11,"sadly after barely a year old it crashes all the time , the touch screen rarely works , and the track pad stops working until a reboot on occasion ."
315,Dell,Dell Inspiron 14 5410 (D560466WIN9S) Laptop (14 Inch | Core i5 11th Gen | 8 GB | Windows 10 | 512 GB SSD)::586313::computer::laptops,62999,Intel Core i5 (11th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 1.7 Ghz Processor,LED,14,UHD,Intel,512 GB SSD Storage,No HDD,no,Upto 6 Hrs Battery Life,Dell Inspiron 14 5410,14,8,Windows 10,the keyboard is a nice size and the pads clicks on touch and not stiff or hard .
316,Lenovo,Lenovo E41-55 (82FJ00BEIH) Laptop (14 Inch | AMD Dual Core Athlon | 4 GB | DOS | 256 GB SSD)::599298::computer::laptops,22990,AMD Dual-Core Athlon,AMD, 32 GB Expandable,4 GB , DDR4 RAM , 2.3 Ghz Processor,LCD,14,Radeon,AMD,256 GB SSD Storage,No HDD,45, Upto 11 Hrs Battery Life,Lenovo E41-55,14,4,DOS,"downloading android apps was easy after doing a standard os update , and really adds to the chrome experience ."
317,Lenovo,Lenovo Ideapad 5 15ITL05 (82FG0148IN) Laptop (15.6 Inch | Core i5 11th Gen | 16 GB | Windows 10 | 512 GB SSD)::586658::computer::laptops,62999,Intel Core i5 (11th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 2.4 Ghz Processor,LED,15.6,"GeForce MX450 GPU, 2 GB",NVIDIA,512 GB SSD Storage,No HDD,65, Upto 11 Hrs Battery Life,Lenovo Ideapad 5 15ITL05,15.6,16,Windows 10,"laptop would never power on , even after being charged for 24 hours ."
318,HP,HP Pavilion 15-ba042au (Z6X93PA) Laptop (15.6 Inch | AMD Quad Core E2 | 4 GB | DOS | 1 TB HDD)::577921::computer::laptops,24499,AMD Quad-Core APU,AMD,Not Expandable,4 GB , DDR3 RAM, 1.8 Ghz Processor,LED,15.6,Radeon R2,AMD,NO SSD,1024 GB HDD Storage,65, Upto 4 Hrs Battery Life,HP Pavilion 15-ba042au,15.6,4,DOS,these macbook pro computers are expensive .
319,Lenovo,Lenovo LOQ (82XV00F4IN) Laptop (15.6 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::615833::computer::laptops,84990,Intel Core i5 (12th Gen),Intel, 32 GB Expandable,16 GB , DDR5 RAM , 3.3 Ghz Processor,LCD,15.6,"GeForce RTX 2050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,135, Upto 6 Hrs Battery Life,Lenovo LOQ,15.6,16,Windows 11,"i ' m a writer , and this has easily become my main computer for both work and play ( google docs easily replaces word , and android apps make it much better for gaming than i originally expected ) ."
320,ASUS,ASUS VivoBook Pro 14 OLED M3400QA-KM512WS Laptop (14 Inch | AMD Hexa Core Ryzen 5 | 16 GB | Windows 11 | 512 GB SSD)::595809::computer::laptops,64990,AMD Hexa-Core Ryzen 5,AMD,Not Expandable,16 GB , DDR4 RAM, 4.2 Ghz Processor,LED,14,Radeon,AMD,512 GB SSD Storage,No HDD,65, Upto 8 Hrs Battery Life,ASUS VivoBook Pro 14 OLED M3400QA-KM512WS Laptop,14,16,Windows 11,this laptop is very straight forward .
321,HP,HP Pavilion 15-eg2017TU (6J8N3PA) Laptop (15.6 Inch | Core i3 12th Gen | 8 GB | Windows 11 | 512 GB SSD)::613630::computer::laptops,49999,Intel Core i3 (12th Gen),Intel, 16 GB Expandable,8 GB , DDR4 RAM , 0.8 Ghz Processor,LCD,15.6,UHD,Intel,512 GB SSD Storage,No HDD,no,Not Specified,HP Pavilion 15-eg2017TU,15.6,8,Windows 11,"runs ok , cheapish , good for price i guess"
322,HP,HP Pavilion 15-eg1000TU (50N49PA) Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::593025::computer::laptops,60900,Intel Core i5 (11th Gen) Processor,Intel,Not Expandable,8 GB , DDR4 RAM,0,LED,15.6,Iris X,Intel,512 GB SSD Storage,No HDD,65,65W Adapter,HP Pavilion 15-eg1000TU,15.6,8,Windows 11,"in all , this is really great machine and i am very very pleased with hardware and chrome os so far ."
323,Dell,Dell Inspiron 15 3511 (D560723WIN9S) Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 1 TB HDD 256 GB SSD)::597184::computer::laptops,54749,Intel Core i5 (11th Gen),Intel, 16 GB Expandable,8 GB , DDR4 RAM , 2.4 Ghz Processor,LCD,15.6,Integrated,Intel,256 GB SSD Storage , 1024 GB HDD Storage,65,65W Adapter,Dell Inspiron 15 3511,15.6,8,Windows 11,also tech support gave incorrect product info !
324,Lenovo,Lenovo Ideapad Slim 5 16IAH8 (83BG000PIN) Laptop (16 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::616019::computer::laptops,61990,Intel Core i5 (12th Gen),Intel, 16 GB Expandable,16 GB LP, LPDDR5 RAM , 2.0 Ghz Processor,LCD,16,UHD,Intel,512 GB SSD Storage,No HDD,no,Upto 8 Hrs Battery Life,Lenovo Ideapad Slim 5 16IAH8,16,16,Windows 11,screen is very close to retina display not exactly but close .
325,ASUS,ASUS VivoBook S15 OLED K3502ZA-KJ522WS Laptop (15.6 Inch | Core i5 12th Gen | 8 GB | Windows 11 | 512 GB SSD)::611822::computer::laptops,64990,Intel Core i5 (12th Gen),Intel, 12 GB Expandable,8 GB , DDR4 RAM , 4.7 Ghz Processor,LCD,15.6,Iris Xe,Intel,512 GB SSD Storage,No HDD,90, Upto 8 Hrs Battery Life,ASUS VivoBook S15 OLED K3502ZA-KJ522WS Laptop,15.6,8,Windows 11,- screen brightness is generally ` ` enough ` ` but maybe not enough for watching dark movies in bright lights .
326,ASUS,ASUS VivoBook Ultra K14 K413EA-EB522WS Laptop (14 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD)::595517::computer::laptops,63990,Intel Core i5 (11th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 2.4 Ghz Processor,LCD,14,Iris Xe,Intel,512 GB SSD Storage,No HDD,65,65W Adapter,ASUS VivoBook Ultra K14 K413EA-EB522WS Laptop,14,16,Windows 11,the mbp 13 ` ` is plenty mobile .
327,ASUS,ASUS Vivobook 16X M1603QA-MB512WS Laptop (16 Inch | AMD Hexa Core Ryzen 5 | 16 GB | Windows 11 | 512 GB SSD)::598403::computer::laptops,57990,AMD Hexa-Core Ryzen 5 Processor,AMD,Not Expandable,16 GB , DDR4 RAM,0,LCD,16,Radeon Vega 7,AMD,512 GB SSD Storage,No HDD,65, Upto 3 Hrs Battery Life,ASUS Vivobook 16X M1603QA-MB512WS Laptop,16,16,Windows 11,"sometimes they felt a bit half - baked , but i loved the idea , and the keyboard made a world of difference in what you could do with that tablet ."
328,Dell,Dell Vostro 14 3400 (D552172WIN9DE) Laptop (14 Inch | Core i5 11th Gen | 8 GB | Windows 10 | 512 GB SSD)::585624::computer::laptops,56999,Intel Core i5 (11th Gen),Intel, 16 GB Expandable,8 GB , DDR4 RAM , 2.4 Ghz Processor,LED,14,"GeForce MX330 GPU, 2 GB",NVIDIA,512 GB SSD Storage,No HDD,no,Upto 10 Hrs Battery Life,Dell Vostro 14 3400,14,8,Windows 10,great laptop great price .
329,HP,HP Pavilion 15-EG2035TU (6D4K7PA) Laptop (15.6 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::595239::computer::laptops,80116,Intel Core i5 (12th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 4.2 Ghz Processor,LCD,15.6,Iris Xe,Intel,512 GB SSD Storage,No HDD,41,41W Adapter,HP Pavilion 15-EG2035TU,15.6,16,Windows 11,i * love * it !
330,Lenovo,Lenovo E41-55 (82FJ00BLIH) Laptop (14 Inch | AMD Dual Core Athlon | 4 GB | Windows 10 | 256 GB SSD)::599299::computer::laptops,29990,AMD Dual-Core Athlon,AMD, 32 GB Expandable,4 GB , DDR4 RAM , 2.3 Ghz Processor,LCD,14,Radeon,AMD,256 GB SSD Storage,No HDD,45,45W Adapter,Lenovo E41-55,14,4,Windows 10,works like a charm and the retina display is super gorgeous .
331,Dell,Dell Vostro 14 3401 (D552163WIN9BE) Laptop (14 Inch | Core i3 11th Gen | 4 GB | Windows 10 | 1 TB HDD 256 GB SSD)::587796::computer::laptops,40801,Intel Core i3 (11th Gen) Processor,Intel, 16 GB Expandable,4 GB , DDR4 RAM ,0,LED,14,UHD,Intel,256 GB SSD Storage , 1024 GB HDD Storage,no,Upto 10 Hrs Battery Life,Dell Vostro 14 3401,14,4,Windows 10,"i ' ve had this for about 3 weeks , and i ' m loving it ."
332,Lenovo,Lenovo Ideapad Gaming 3 15ACH6 (82K200X3IN) Laptop (15.6 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 11 | 512 GB SSD)::599340::computer::laptops,81990,AMD Octa-Core Ryzen 7,AMD, 16 GB Expandable,16 GB , DDR4 RAM , 3.1 Ghz Processor,LCD,15.6,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,65, Upto 5 Hrs Battery Life,Lenovo Ideapad Gaming 3 15ACH6,15.6,16,Windows 11,terrible quality and not really enjoyable to use apps on the playstore .
333,HP,HP 15-fd0019TU (7Q6Z0PA) Laptop (15.6 Inch | Core i3 13th Gen | 8 GB | Windows 11 | 512 GB SSD)::614409::computer::laptops,44990,Intel Core i3 (13th Gen),Intel, 16 GB Expandable,8 GB , DDR4 RAM , 3.3 Ghz Processor,LCD,15.6,Iris Xe,Intel,512 GB SSD Storage,No HDD,65,65W Adapter,HP 15-fd0019TU,15.6,8,Windows 11,good touchpad
334,HP,HP 15-fd0018TU (7Q6Y9PA) Laptop (15.6 Inch | Core i3 13th Gen | 8 GB | Windows 11 | 512 GB SSD)::611376::computer::laptops,43489,Intel Core i3 (13th Gen),Intel, 16 GB Expandable,8 GB , DDR4 RAM , 3.3 Ghz Processor,LCD,15.6,Integrated,Intel,512 GB SSD Storage,No HDD,no,Not Specified,HP 15-fd0018TU,15.6,8,Windows 11,a good product !
335,Lenovo,Lenovo Ideapad Slim 3i 14IRU8 (82X60013IN) Laptop (14 Inch | Core i3 13th Gen | 8 GB | Windows 11 | 512 GB SSD)::615752::computer::laptops,45990,Intel Core i3 (13th Gen),Intel, 8 GB Expandable,8 GB LP, LPDDR5 RAM , 3.3 Ghz Processor,LCD,14,UHD,Intel,512 GB SSD Storage,No HDD,65, Upto 7 Hrs Battery Life,Lenovo Ideapad Slim 3i 14IRU8,14,8,Windows 11,easiest computer to start up ever .
336,MSI,MSI GF63 Thin 12VE-267IN Laptop (15.6 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 1 TB HDD 256 GB SSD)::611238::computer::laptops,86990,Intel Core i5 (12th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 3.3 Ghz Processor,LCD,15.6,"GeForce RTX 4050 GPU, 6 GB",NVIDIA,256 GB SSD Storage , 1024 GB HDD Storage,no,Not Specified,MSI GF63 Thin 12VE-267IN Laptop,15.6,16,Windows 11,battery life is great if you use half of the brightness .
337,Lenovo,Lenovo Ideapad Gaming 3 (82EY00RYIN) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 10 | 512 GB SSD)::587120::computer::laptops,60900,AMD Hexa-Core Ryzen 5,AMD, 16 GB Expandable,8 GB , DDR4 RAM , 3.0 Ghz Processor,LED,15.6,"GeForce GTX 1650 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,135, Upto 6.7 Hrs Battery Life,Lenovo Ideapad Gaming 3,15.6,8,Windows 10,i contacted asus and they could do nothing .
338,HP,HP Pavilion 15-eg3036TU (7S4P3PA) Laptop (15.6 Inch | Core i7 13th Gen | 16 GB | Windows 11 | 1 TB SSD)::615368::computer::laptops,83990,Intel Core i7 (13th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 3.4 Ghz Processor,LCD,15.6,Iris Xe,Intel,1024 GB SSD Storage,No HDD,65,65W Adapter,HP Pavilion 15-eg3036TU,15.6,16,Windows 11,so far i ' m enjoying it .
339,Lenovo,Lenovo Ideapad S145 (81N300KNIN) Laptop (15.6 Inch | AMD Dual Core A6 | 4 GB | Windows 10 | 1 TB HDD)::582127::computer::laptops,25015,AMD Dual-Core A6 APU,AMD,Not Expandable,4 GB , DDR4 RAM, 2.6 Ghz Processor,LED,15.6,Radeon R4,AMD,NO SSD,1024 GB HDD Storage,45,45W Adapter,Lenovo Ideapad S145,15.6,4,Windows 10,i bought this in august and i have had to completely wipe 2x and rollback after every critical update since november .
340,Lenovo,Lenovo E41-55 (82FJ00AGIH) Laptop (14 Inch | AMD Dual Core Athlon | 4 GB | DOS | 256 GB SSD)::597193::computer::laptops,24050,AMD Dual-Core Athlon,AMD, 16 GB Expandable,4 GB , DDR4 RAM , 2.4 Ghz Processor,LCD,14,Radeon Graphics,AMD,256 GB SSD Storage,No HDD,65, Upto 6 Hrs Battery Life,Lenovo E41-55,14,4,DOS,- touchscreen is responsive enough for gaming .
341,HP,HP Pavilion x360 14-ek1010TU (7N760PA) Laptop (14 Inch | Core i5 13th Gen | 16 GB | Windows 11 | 1 TB SSD)::600184::computer::laptops,78900,Intel Core i5 (13th Gen),Intel, 16 GB Expandable,16 GB , DDR4 RAM , 3.4 Ghz Processor,LCD,14,Integrated,Intel,1024 GB SSD Storage,No HDD,65,65W Adapter,HP Pavilion x360 14-ek1010TU,14,16,Windows 11,it has worked well except for an initial hiccup on turning it on .
342,Dell,Dell Inspiron 15 3520 (IN352092K4N001ORS1) Laptop (15.6 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::613459::computer::laptops,52800,Intel Core i5 (12th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 4.2 Ghz Processor,LCD,15.6,Iris Xe,Intel,512 GB SSD Storage,No HDD,65, Upto 7 Hrs Battery Life,Dell Inspiron 15 3520,15.6,16,Windows 11,"its fast , battery lasts for many hours , all the apps work well , the wifi on this is great , and the screen resolution is really great ."
343,Zebronics,Zebronics Pro Series ZEB-NBC 3S Laptop (15.6 Inch | Core i3 12th Gen | 8 GB | Windows 11 | 512 GB SSD)::613646::computer::laptops,31990,Intel Core i3 (12th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 4.2 Ghz Processor,LCD,15.6,UHD,Intel,512 GB SSD Storage,No HDD,65,65W Adapter,Zebronics Pro Series ZEB-NBC 3S Laptop,15.6,8,Windows 11,"the screen quality is excellent , and i am fussy due to my interest in digital imagery ."
344,ASUS,ASUS VivoBook Pro 15 M6500QC-HN541WS Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 16 GB | Windows 11 | 512 GB SSD)::612236::computer::laptops,65990,AMD Hexa-Core Ryzen 5,AMD, 16 GB Expandable,16 GB , DDR4 RAM , 4.2 Ghz Processor,LCD,15.6,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,120,120W Adapter,ASUS VivoBook Pro 15 M6500QC-HN541WS Laptop,15.6,16,Windows 11,runs first person shooters relatively well .
345,Acer,Acer Aspire 5 A514-54 (NX.A23SI.00H) Laptop (14 Inch | Core i5 11th Gen | 8 GB | Windows 10 | 1 TB HDD)::592882::computer::laptops,52900,Intel Core i5 (11th Gen) Processor,Intel,Not Expandable,8 GB , DDR4 RAM,0,LED,14,Iris Xe,Intel,NO SSD,1024 GB HDD Storage,45,45W Adapter,Acer Aspire 5 A514-54,14,8,Windows 10,it is very easy to use the set up was awesome .
346,Dell,Dell Inspiron 15 3501 (D560437WIN9SE) Laptop (15.6 Inch | Core i5 11th Gen | 4 GB | Windows 10 | 1 TB HDD 256 GB SSD)::585414::computer::laptops,55499,Intel Core i5 (11th Gen),Intel, 16 GB Expandable,4 GB , DDR4 RAM , 4.2 Ghz Processor,LED,15.6,Iris Xe,Intel,256 GB SSD Storage , 1024 GB HDD Storage,no,Upto 8 Hrs Battery Life,Dell Inspiron 15 3501,15.6,4,Windows 10,"it is perfect for his college courses , work and fun ."
347,Samsung,Samsung Galaxy Book Intel Evo 15.6 2 15.6 Laptop (15.6 Inch | Core i7 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::594522::computer::laptops,61990,Intel Core i7 (12th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 4.7 Ghz Processor,LED,15.6,Iris Xe,Intel,512 GB SSD Storage,No HDD,45,45W Adapter,Samsung Galaxy Book Intel Evo 15.6 2 15.6 Laptop,15.6,16,Windows 11,"honestly , i ' m debating returning this laptop ."
348,Zebronics,Zebronics Pro Series ZEB-NBC 5S Laptop (15.6 Inch | Core i7 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::613652::computer::laptops,50990,Intel Core i7 (12th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 2.4 Ghz Processor,LCD,15.6,Iris Xe,Intel,512 GB SSD Storage,No HDD,65, Upto 10 Hrs Battery Life,Zebronics Pro Series ZEB-NBC 5S Laptop,15.6,16,Windows 11,overall i ' m happy with it for what i use it for .
349,ASUS,ASUS VivoBook 14 X415EA-EB322WS Laptop (14.1 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::596277::computer::laptops,38400,Intel Core i3 (11th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 3.0 Ghz Processor,LCD,14.1,UHD Graphics,Intel,512 GB SSD Storage,No HDD,65, Upto 6 Hrs Battery Life,ASUS VivoBook 14 X415EA-EB322WS Laptop,14.1,8,Windows 11,but i fed up with the price it cost to upgrade the product as well as the software .
350,Zebronics,Zebronics Pro Series ZEB-NBC 5S Laptop (15.6 Inch | Core i7 12th Gen | 16 GB | Windows 11 | 1 TB SSD)::613649::computer::laptops,52990,Intel Core i7 (12th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 2.4 Ghz Processor,LCD,15.6,Iris Xe,Intel,1024 GB SSD Storage,No HDD,65, Upto 10 Hrs Battery Life,Zebronics Pro Series ZEB-NBC 5S Laptop,15.6,16,Windows 11,pros : lightweight and looks nice .
351,ASUS,ASUS TUF Gaming F15 FX506HF-HN026W Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 1 TB SSD)::612388::computer::laptops,62990,Intel Core i5 (11th Gen),Intel, 32 GB Expandable,8 GB , DDR4 RAM , 2.7 Ghz Processor,LCD,15.6,"GeForce RTX 2050 GPU, 4 GB",NVIDIA,1024 GB SSD Storage,No HDD,150,150W Adapter,ASUS TUF Gaming F15 FX506HF-HN026W Laptop,15.6,8,Windows 11,"it ' s light and thin , and overall the screen is pretty good ."
352,Dell,Dell Inspiron 15 3520 (D560866WIN9S) Laptop (15.6 Inch | Core i5 12th Gen | 8 GB | Windows 11 | 512 GB SSD)::598262::computer::laptops,47490,Intel Core i5 (12th Gen),Intel, 16 GB Expandable,8 GB , DDR4 RAM , 4.2 Ghz Processor,LCD,15.6,UHD,Intel,512 GB SSD Storage,No HDD,65,65W Adapter,Dell Inspiron 15 3520,15.6,8,Windows 11,the screen looks fantastic and movies look great .
353,HP,HP Envy x360 Intel Evo 13-bf0121TU (7H5D3PA) Laptop (13.4 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::599065::computer::laptops,81199,Intel Core i5 (12th Gen),Intel,Not Expandable,16 GB LP, LPDDR4X RAM, 2.4 Ghz Processor,LCD,13.4,Iris Xe,Intel,512 GB SSD Storage,No HDD,65,65W Adapter,HP Envy x360 Intel Evo 13-bf0121TU,13.4,16,Windows 11,"nice screen and keyboard , touch pad is great ."
354,ASUS,ASUS Vivobook 16X M1603QA-MB511WS Laptop (16 Inch | AMD Hexa Core Ryzen 5 | 16 GB | Windows 11 | 512 GB SSD)::598940::computer::laptops,52990,AMD Hexa-Core Ryzen 5,AMD,Not Expandable,16 GB , DDR4 RAM, 3.3 Ghz Processor,LCD,16,Radeon,AMD,512 GB SSD Storage,No HDD,65,65W Adapter,ASUS Vivobook 16X M1603QA-MB511WS Laptop,16,16,Windows 11,easy to use .
355,Acer,Acer Aspire 3 A315-58 (UN.ADDSI.036) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 256 GB SSD)::594738::computer::laptops,30729,Intel Core i3 (11th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 4.0 Ghz Processor,LED,15.6,UHD,Intel,256 GB SSD Storage,No HDD,45, Upto 9 Hrs Battery Life,Acer Aspire 3 A315-58,15.6,8,Windows 11,"after seven months , the usb - c ports stopped charging ."
356,Dell,Dell G15-5520 (D560736WIN9B) Laptop (15.6 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::595496::computer::laptops,69700,Intel Core i5 (12th Gen),Intel, 32 GB Expandable,16 GB , DDR5 RAM , 3.3 Ghz Processor,LCD,15.6,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,65, Upto 10 Hrs Battery Life,Dell G15-5520,15.6,16,Windows 11,* decent selection of ports for its size
357,Lenovo,Lenovo V14-IGL (82C2S02K00) Laptop (14 Inch | Intel Celeron Dual Core | 4 GB | Windows 11 | 256 GB SSD)::597381::computer::laptops,25999,Intel Celeron Dual-Core,Intel,Not Expandable,4 GB , DDR4 RAM, 2.8 Ghz Processor,LCD,14,Integrated,Intel,256 GB SSD Storage,No HDD,65, Upto 10 Hrs Battery Life,Lenovo V14-IGL,14,4,Windows 11,this little chromebook is very nice and is pretty much what i expected .
