S.No,Brand,Model_Name,Price (in Dollars),Processor_Specifications,Processor_Brand,RAM_Expandable (GB),RAM (GB),RAM_TYPE,Processor (Ghz),Display_Type,GPU,GPU_Brand,SSD Storage (GB),HDD Storage (GB),Adapter (Hz),Battery_Life,Screen_Size (inches),OS,Customer_Review,Battery_Life_Standardized
0,HP,HP Chromebook 11A-NA0002MU (2E4N0PA) Laptop (11.6 Inch | MediaTek Octa Core | 4 GB | Google Chrome |)::585119::computer::laptops,275.88,MediaTek Octa-core,MediaTek,0,4,DDR4,2.0,LED,Integrated Graphics,MediaTek,64,0,45, Upto 12 Hrs Battery Life,11.6,Chrome,"I Also Feel Like Apple Hides Too Much Under The Hood From The User , But I Suppose You Can Still Work Around That If You Are So Inclined .",12.0
1497,Lenovo,Lenovo Ideapad 5 15ITL05 (82FG01H9IN) Laptop (15.6 Inch | Core i5 11th Gen | 16 GB | Windows 10 | 512 GB SSD)::593680::computer::laptops,754.8000000000001,Intel Core i5 (11th Gen),Intel,0,16,DDR4,2.4,LED,Iris Xe,Intel,512,0,65,65W Adapter,15.6,Windows 10,Flimsy Power Adapter .,1.0
1498,Lenovo,Lenovo Ideapad S145 (81UT0044IN) Laptop (15.6 Inch | AMD Quad Core Ryzen 5 | 8 GB | Windows 10 | 512 GB SSD)::582022::computer::laptops,479.88,AMD Quad-Core Ryzen 5,AMD,0,8,DDR4,2.1,LED,Radeon Vega 8,AMD,512,0,65,65W Adapter,15.6,Windows 10,"I Used To Use A Ridiculously Heavy D _ _ _ Inspirion , Which I Love Because Of The 17 ` ` Screen And Capabilities , But I Quickly Found That Carrying It Anywhere Caused My Shoulders And Back To Hurt !",1.0
1499,HP,HP 15s-du1034tu (9LA50PA) Laptop (15.6 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 1 TB HDD)::575431::computer::laptops,562.932,Intel Core i5 (10th Gen),Intel,0,8,DDR4,1.6,LED,UHD,Intel,0,1024,65,65W Adapter,15.6,Windows 10,#Name?,1.0
1500,HP,HP 15s-du1052TU (1V4G6PA) Laptop (15.6 Inch | Pentium Gold | 4 GB | Windows 10 | 1 TB HDD)::583761::computer::laptops,355.584,Intel Pentium Dual-Core,Intel,0,4,DDR4,2.4,LED,UHD,Intel,0,1024,65, Upto 8 Hrs Battery Life,15.6,Windows 10,"Do Not Buy It Like Me , A Samsung Fan .",8.0
1501,Dell,Dell Vostro 14 3401 (D552175WIN9BE) Laptop (14 Inch | Core i3 11th Gen | 8 GB | Windows 10 | 1 TB HDD)::585621::computer::laptops,374.148,Intel Core i3 (11th Gen),Intel,0,8,DDR4,1.7,LED,UHD,Intel,0,1024,0,Upto 10 Hrs Battery Life,14,Windows 10,The Only Program I Couldn ' T Find A Cloud Solution For Was Scrivener .,10.0
1502,Lenovo,Lenovo Ideapad S145 (81W800HDIN) Laptop (15.6 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 1 TB HDD)::575301::computer::laptops,496.692,Intel Core i5 (10th Gen),Intel,0,8,DDR4,1.1,LED,UHD,Intel,0,1024,65,65W Adapter,15.6,Windows 10,It ' S Very Expensive For Such A Simple Device .,1.0
1503,Acer,Acer Aspire R3-131T (NX.G0YSI.011) Laptop (11.6 Inch | Pentium Quad Core | 4 GB | Windows 10 | 500 GB HDD)::577877::computer::laptops,347.988,Intel Pentium Quad-Core,Intel,8,4,DDR3,1.6,LED,HD,Intel,0,500,45, Upto 8 Hrs Battery Life,11.6,Windows 10,The Touchscreen Is Great And The Backlit Keyboard Is Fantastic .,8.0
1504,Acer,Acer Nitro 5 AN515-54 (NH.Q59SI.014) Laptop (15.6 Inch | Core i5 9th Gen | 8 GB | Windows 10 | 1 TB HDD 256 GB SSD)::582235::computer::laptops,719.88,Intel Core i5 (9th Gen),Intel,32,8,DDR4,2.4,LED,"GeForce GTX 1650 GPU, 4 GB",NVIDIA,256,1024,135, Upto 11 Hrs Battery Life,15.6,Windows 10,"On A Side Note , There Is A Slight Defect On My Chromebook As There Is Some Creaking And Loose Feeling When Pressing On The Bottom Left Side Of My Screen , This Can Be Especially Annoying In Tablet Mode .",11.0
1505,ASUS,ASUS VivoBook S14 S3402ZA-LY521WS Laptop (14 Inch | Core i5 12th Gen | 8 GB | Windows 11 | 512 GB SSD)::615964::computer::laptops,707.88,Intel Core i5 (12th Gen),Intel,12,8,DDR4,2.5,LCD,Iris Xe,Intel,512,0,90,90W Adapter,14,Windows 11,"Of Course , I Have Only Had This Acer For A Week .",0.7
1506,HP,HP Chromebook 11a-na0006MU (2E4N1PA) Laptop (11.6 Inch | MediaTek Octa Core | 4 GB | Google Chrome |)::592576::computer::laptops,263.88,MediaTek Octa-core,MediaTek,0,4,LPDDR4,2.0,LED,Integrated,MediaTek,64,0,45, Upto 15.45 Hrs Battery Life,11.6,Chrome,"Does Not Act Like A Tablet , But It Can Have Almost 10 Tabs Open Before Affecting Performance , Including Video Streaming .",15.45
1507,ASUS,ASUS VivoBook S14 S3402ZA-LY522WS Laptop (14 Inch | Core i5 12th Gen | 8 GB | Windows 11 | 512 GB SSD)::600653::computer::laptops,707.88,Intel Core i5 (12th Gen),Intel,0,8,DDR4,2.5,LCD,Iris Xe,Intel,512,0,0,Not Specified,14,Windows 11,The Laptop Was Dead On Arrival .,
1508,ASUS,ASUS Vivobook K513EA-L302TS Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 10 | 256 GB SSD)::592466::computer::laptops,503.88,Intel Core i3 (11th Gen),Intel,0,8,DDR4,3.0,LED,UHD,Intel,256,0,65,65W Adapter,15.6,Windows 10,Here ' S The Kicker : It Is Doing A Terrible Job Running Dragon Age .,1.0
1509,Dell,Dell Vostro 15 3568 (A553117WIN9) Laptop (15.6 Inch | Core i3 7th Gen | 4 GB | Windows 10 | 1 TB HDD)::582254::computer::laptops,371.976,Intel Core i3 (7th Gen),Intel,0,4,DDR4,2.3,LED,HD 620,Intel,0,1024,40,40W Adapter,15.6,Windows 10,It ' S Terrible .,1.6
1510,ASUS,ASUS VivoBook Gaming F571GT-BN913TS Laptop (15.6 Inch | Core i5 9th Gen | 8 GB | Windows 10 | 512 GB SSD)::585919::computer::laptops,496.692,Intel Core i5 (9th Gen),Intel,0,8,DDR4,2.4,LED,"GeForce GTX 1650 GPU, 4 GB",NVIDIA,512,0,150,150W Adapter,15.6,Windows 10,I Will Never Use Another Microsoft Program As Long As I Live .,0.4
1511,Lenovo,Lenovo Ideapad Slim 3 15IML05 (81WB0158IN) Laptop (15.6 Inch | Core i3 10th Gen | 4 GB | Windows 10 | 256 GB SSD)::587262::computer::laptops,402.0,Intel Core i3 (10th Gen),Intel,12,4,DDR4,2.1,LED,UHD,Intel,256,0,45,45W Adapter,15.6,Windows 10,I Hate The New Keyboard The Newer Version Comes With .,1.4
1512,Dell,Dell Vostro 15 3568 (A553501UIN9) Laptop (15.6 Inch | Core i3 6th Gen | 4 GB | Linux | 1 TB HDD)::577290::computer::laptops,323.88,Intel Core i3 (6th Gen),Intel,0,4,DDR4,2.0,LED,HD 520,Intel,0,1024,45,45W Adapter,15.6,Not Specified,Acer Makes A Good Unit Too .,1.4
1513,Dell,Dell Vostro 15 3568 (A553502HIN9) Laptop (15.6 Inch | Core i3 6th Gen | 4 GB | Windows 10 | 1 TB HDD)::577357::computer::laptops,359.35200000000003,Intel Core i3 (6th Gen),Intel,16,4,DDR4,2.0,LED,HD 520,Intel,0,1024,40,40W Adapter,15.6,Windows 10,"Not Sure It Is Related , But When I Open Facebook , Aaaallllll The Messages Open Simultaneously .",1.6
1514,Lenovo,Lenovo Ideapad L340 (81LK01QNIN) Laptop (15.6 Inch | Core i5 9th Gen | 8 GB | Windows 10 | 1 TB HDD)::584441::computer::laptops,470.196,Intel Core i5 (9th Gen),Intel,0,8,DDR4,2.4,LED,"GeForce GTX 1050 GPU, 3 GB",NVIDIA,0,1024,45,45W Adapter,15.6,Windows 10,"On Day One , I Had Been Using It For Maybe 2 Hours And It Randomly Shut Off .",1.4
1515,Acer,Acer Predator Helios 300 PH315-53 (NH.QCYSI.008) Laptop (15.6 Inch | Core i7 10th Gen | 16 GB | Windows 10 | 1 TB HDD 256 GB SSD)::585342::computer::laptops,958.8000000000001,Intel Core i7 (10th Gen) Processor,Intel,0,16,DDR4,0.0,LED,"GeForce RTX 3060 GPU, 6 GB",NVIDIA,256,1024,230, Upto 7 Hrs Battery Life,15.6,Windows 10,This Is The Best Laptop For The Price .,7.0
1516,Lenovo,Lenovo Ideapad L340 (81LK01L3IN) Laptop (15.6 Inch | Core i5 9th Gen | 8 GB | Windows 10 | 1 TB HDD)::581260::computer::laptops,635.88,Intel Core i5 (9th Gen),Intel,0,8,DDR4,2.4,LED,"Geforce GTX 1050 GPU, 3 GB",NVIDIA,0,1024,135,135W Adapter,15.6,Windows 10,"8 + Lbs , This One Is Right Under 5 So It Makes It Nice And Portable .",0.5
1517,Lenovo,Lenovo Ideapad S340 (81VV008TIN) Laptop (14 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 1 TB HDD 256 GB SSD)::575480::computer::laptops,477.92400000000004,Intel Core i5 (10th Gen),Intel,0,8,DDR4,1.0,LED,UHD,Intel,256,1024,65,65W Adapter,14,Windows 10,Screen Is Amazing,1.0
1518,HP,HP 14s-DQ3018TU (3Y0H5PA) Laptop (14 Inch | Pentium Quad Core | 8 GB | Windows 10 | 256 GB SSD)::585925::computer::laptops,274.788,Intel Pentium Quad-Core,Intel,0,8,DDR4,3.4,LED,UHD,Intel,256,0,0,Upto 12 Hrs Battery Life,14,Windows 10,The Battery On This Computer Is Not Very Good I Feel Like I Always Have To Have It Plugged In .,12.0
1519,HP,HP 15q-ds0028tu (6AL09PA) Laptop (15.6 Inch | Core i5 7th Gen | 4 GB | Windows 10 | 1 TB HDD)::576249::computer::laptops,373.044,Intel Core i5 (7th Gen),Intel,0,4,DDR4,2.5,LED,HD 620,Intel,0,1024,41,41W Adapter,15.6,Windows 10,I ' Ve Had To Do A Factory Reset On This Piece Of Garbage 4 Times And I ' Ve Only Owned It For 4 Months .,1.6
1520,Acer,Acer Aspire ES1-572 (UN.GKQSI.003) Laptop (15.6 Inch | Core i3 6th Gen | 4 GB | Linux | 500 GB HDD)::577911::computer::laptops,323.988,Intel Core i3 (6th Gen),Intel,16,4,DDR3,2.3,LED,HD 520,Intel,0,500,45, Upto 6.5 Hrs Battery Life,15.6,Not Specified,"I Will Say This , If You ' Re Not Doing Video Production And Just Need Basic Computering , These Chromebooks Are Everything .",6.5
1521,ASUS,ASUS VivoBook 14 M413IA-EK581T Laptop (14 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 10 | 512 GB SSD)::582083::computer::laptops,350.964,AMD Hexa-Core Ryzen 5,AMD,0,8,DDR4,2.3,LED,Radeon R3,AMD,512,0,45,45W Adapter,14,Windows 10,How Can A Brand New Computer Not Charge Properly ?,1.4
1522,ASUS,ASUS X543MA-DM101T Laptop (15.6 Inch | Intel Pentium Quad Core | 4 GB | Windows 10 | 1 TB HDD)::598249::computer::laptops,245.988,Intel Pentium Quad-Core Processor,Intel,12,4,DDR4,0.0,LCD,Integrated,Intel,0,1024,65, Upto 4 Hrs Battery Life,15.6,Windows 10,I Called Acer Tech Support But Nothing Worked .,4.0
1523,ASUS,ASUS ROG Strix G531GD-BQ036T Laptop (15.6 Inch | Core i5 9th Gen | 8 GB | Windows 10 | 1 TB HDD)::575891::computer::laptops,635.88,Intel Core i5 (9th Gen),Intel,32,8,DDR4,2.4,LED,"GeForce GTX 1050 GPU, 4 GB",NVIDIA,0,1024,150,150W Adapter,15.6,Windows 10,The Keyboard Is Good .,0.4
1524,Micromax,Micromax Canvas Lapbook (Atom Quad Core/2 GB/32 GB SSD/Windows 10) Laptop L1161 Netbook (11.6 Inch | Atom Quad Core | 2 GB | Windows 10 | 32 GB SSD)::578517::computer::laptops,125.88000000000001,Intel Atom Quad-Core,Intel,64,2,DDR3,1.3,LCD,HD,Intel,32,0,0,Upto 11 Hrs Battery Life,11.6,Windows 10,"Sometimes , Under Heavy Loads , The Bottom Of The C302 Gets Warm To The Touch , But Not To The Point Of Pain .",11.0
1525,HP,HP 15-bg003au (Z1D90PA) Laptop (15.6 Inch | AMD Quad Core E2 | 4 GB | DOS | 500 GB HDD)::578119::computer::laptops,227.88,AMD Quad-Core APU,AMD,8,4,DDR3,1.8,LED,Radeon R2,AMD,0,500,65, Upto 6 Hrs Battery Life,15.6,DOS,#Name?,6.0
1526,Micromax,Micromax Canvas Lapbook L1160 Laptop (11.6 Inch | Atom Quad Core | 2 GB | Windows 10 | 32 GB SSD)::578322::computer::laptops,113.988,Intel Atom Quad-Core,Intel,64,2,DDR3,1.3,LED,HD,Intel,32,0,0,Upto 10 Hrs Battery Life,11.6,Windows 10,"First , It Is Hard To Run More Than 10 Tabs Open At Any Given Time .",10.0
1527,HP,HP 15s-eq0007au (9VX05PA) Laptop (15.6 Inch | AMD Dual Core Ryzen 3 | 4 GB | Windows 10 | 256 GB SSD)::575439::computer::laptops,347.988,AMD Dual-Core Ryzen 3,AMD,0,4,DDR4,2.6,LED,Radeon Vega 3,AMD,256,0,41,41W Adapter,15.6,Windows 10,Easy To Use .,1.6
1528,Lenovo,Lenovo Ideapad Slim 5 (82FG014DIN) Laptop (15.6 Inch | Core i5 11th Gen | 16 GB | Windows 10 | 512 GB SSD)::592668::computer::laptops,730.6800000000001,Intel Core i5 (11th Gen),Intel,0,16,DDR4,2.4,LED,Iris Xe,Intel,512,0,57,57W Adapter,15.6,Windows 10,The Trackpad Is Mediocre In Use .,1.1
1529,Lenovo,Lenovo Ideapad S145 (81W800FLIN) Laptop (15.6 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 1 TB HDD)::582625::computer::laptops,520.6800000000001,Intel Core i5 (10th Gen),Intel,0,8,DDR4,1.1,LED,UHD,Intel,0,1024,65,65W Adapter,15.6,Windows 10,No Complaints Here .,1.0
1530,HP,HP Pavilion Gaming 15-EC1512AX (498U8PA) Laptop (15.6 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 10 | 1 TB HDD 256 GB SSD)::586613::computer::laptops,911.88,AMD Octa-Core Ryzen 7,AMD,16,16,DDR4,2.9,LED,"GeForce GTX 1650 Ti GPU, 4 GB",NVIDIA,256,1024,0,52.5W Adapter,15.6,Windows 10,It Gets Two Stars Because It Is A Nice Light Weight And The Folding Is Nice .,1.2
1531,ASUS,ASUS ROG Strix G15 G512LI-HN094T Laptop (15.6 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 512 GB SSD)::581226::computer::laptops,911.88,Intel Core i5 (10th Gen),Intel,32,8,DDR4,2.5,LED,"Geforce GTX 1650 Ti GPU, 4 GB",NVIDIA,512,0,150,150W Adapter,15.6,Windows 10,I Typically Love Acers ( I Have A Regular Laptop ) But This Machine Has Been A Nightmare .,0.4
1532,HP,HP 15q-ds0026tu (6AF82PA) Laptop (15.6 Inch | Core i3 7th Gen | 8 GB | Windows 10 | 1 TB HDD)::576247::computer::laptops,407.88,Intel Core i3 (7th Gen),Intel,0,8,DDR4,2.3,LED,HD 620,Intel,0,1024,41,41W Adapter,15.6,Windows 10,"Another Star Off For Android App Support , Which Simply Isn ' T Ready For Prime Time .",1.6
1533,Infinix,Infinix INBook X1 XL11 Laptop (14 Inch | Core i5 10th Gen | 8 GB | Windows 11 | 512 GB SSD)::593665::computer::laptops,437.88,Intel Core i5 (10th Gen),Intel,0,8,LPDDR4X,1.0,LCD,UHD,Intel,512,0,65,65W Adapter,14,Windows 11,Feels Nice And Looks Good But It Truly Is The Worst Chromebook On The Market !,1.0
1534,Dell,Dell G3 15 3579 (B560107WIN9) Laptop (15.6 Inch | Core i5 8th Gen | 8 GB | Windows 10 | 1 TB HDD 128 GB SSD)::576979::computer::laptops,706.452,Intel Core i5 (8th Gen),Intel,0,8,DDR4,2.3,LED,"GeForce GTX 1050 GPU, 4 GB",NVIDIA,128,1024,56,56W Adapter,15.6,Windows 10,"This Laptop Was Delivered With The Screen Broken , It Was The Christmas Gift And When We Removed The Gift Paper Se Found A Laptop Thant Not Worked , That ' S Unfair And That Should Not Be Done Yo Any People On Christmas Night",1.2
1535,Lenovo,Lenovo Ideapad Slim 3i 15IGL05 (81WQ003LIN) Laptop (15.6 Inch | Celeron Dual Core | 4 GB | Windows 10 | 256 GB SSD)::584011::computer::laptops,346.788,Intel Celeron Dual-Core,Intel,0,4,DDR4,1.1,LED,UHD 600,Intel,256,0,45, Upto 5 Hrs Battery Life,15.6,Windows 10,- Keyboard Keys Have A Shorter Touch .,5.0
1536,MSI,MSI Modern 14 B4MW-423IN Laptop (14 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 10 | 512 GB SSD)::587892::computer::laptops,532.6800000000001,AMD Hexa-Core Ryzen 5 Processor,AMD,0,8,DDR4,0.0,LED,Radeon,AMD,512,0,65,65W Adapter,14,Windows 10,Kinda Small But Good Quality !,1.0
1537,Acer,Acer Chromebook CB3-431-C5FM (NX.GC2AA.007) Laptop (14 Inch | Celeron Quad Core | 4 GB | Google Chrome | 32 GB SSD)::577721::computer::laptops,718.44,Intel Celeron Quad-Core,Intel,0,4,DDR3,1.6,LED,HD 400,Intel,32,0,45,45W Adapter,14,Chrome,"Some Apps Don ' T Play Well Yet , But Should With Time .",1.4
1538,Lenovo,Lenovo Ideapad Slim 3i 15ITL6 (82H80238IN) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 10 | 512 GB SSD)::592773::computer::laptops,426.0,Intel Core i3 (11th Gen),Intel,0,8,DDR4,3.0,LED,UHD,Intel,512,0,65,65W Adapter,15.6,Windows 10,The 16Gb Of Ssd Storage Is Perfect As I Use It For School And The Biggest File I Might Be Storing Would Be A Picture .,1.0
1539,HP,HP 14s-er0003tu (3C465PA) Laptop (14 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 1 TB HDD 256 GB SSD)::582357::computer::laptops,600.912,Intel Core i5 (10th Gen),Intel,0,8,DDR4,1.0,LED,UHD,Intel,256,1024,65,65W Adapter,14,Windows 10,- This May Be A Personal Preference But I Did Wish The Screen Was A Tad Bit Brighter .,1.0
1540,MSI,MSI GF63 Thin 9RCX-648IN Laptop (15.6 Inch | Core i5 9th Gen | 8 GB | Windows 10 | 1 TB HDD)::575645::computer::laptops,647.88,Intel Core i5 (9th Gen),Intel,0,8,DDR4,2.4,LED,"Geforce GTX 1050 Ti GPU, 4 GB",NVIDIA,0,1024,120,120W Adapter,15.6,Windows 10,Sound Is Really Low While Using An Aux Speaker / Headphone .,0.5
1541,Lenovo,Lenovo Ideapad 320E (80XV00PKIN) Laptop (15.6 Inch | AMD Dual Core A9 | 4 GB | DOS | 1 TB HDD)::577179::computer::laptops,274.68,AMD Dual-Core A9 APU,AMD,8,4,DDR4,3.0,LED,Radeon R2,AMD,0,1024,45, Upto 5 Hrs Battery Life,15.6,DOS,Its Is Small And Lite And The Battery Dose Last Long .,5.0
1542,AVITA,AVITA Liber V14 NS14A8INF541 Laptop (14 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 256 GB SSD)::581397::computer::laptops,377.88,Intel Core i5 (10th Gen),Intel,0,8,DDR3,1.6,LED,UHD,Intel,256,0,0,Upto 10 Hrs Battery Life,14,Windows 10,No Ventilation At Bottom Of Laptop,10.0
1543,Dell,Dell Vostro 14 3401 (D552168WIN9BE) Laptop (14 Inch | Core i3 10th Gen | 4 GB | Windows 10 | 256 GB SSD)::586249::computer::laptops,268.164,Intel Core i3 (10th Gen),Intel,16,4,DDR4,1.2,LED,UHD,Intel,256,0,0,Upto 10 Hrs Battery Life,14,Windows 10,"Ridiculous For Something So Expensive , Some Internet Research Shows Numerous People Having This Issue .",10.0
1544,ASUS,ASUS ROG Strix G15 G512LI-HN057T Laptop (15.6 Inch | Core i7 10th Gen | 16 GB | Windows 10 | 512 GB SSD)::581727::computer::laptops,1067.88,Intel Core i7 (10th Gen),Intel,32,16,DDR4,2.6,LED,"Geforce GTX 1650 Ti GPU, 4 GB",NVIDIA,512,0,150,150W Adapter,15.6,Windows 10,Webpages Load Quickly .,0.4
1545,Acer,Acer Predator Helios 300 PH315-53-594S (NH.QA4SI.002) Laptop (15.6 Inch | Core i5 10th Gen | 16 GB | Windows 10 | 1 TB HDD 256 GB SSD)::581837::computer::laptops,770.484,Intel Core i5 (10th Gen),Intel,32,16,DDR4,2.5,LED,"Geforce RTX 2060 GPU, 6 GB",NVIDIA,256,1024,230,230W Adapter,15.6,Windows 10,"All The While , It Provides One Of The Fastest Web Browsing Experiences That I ' Ve Ever Experienced .",0.3
1546,Dell,Dell Inspiron 15 3567 (B566109WIN9) Laptop (15.6 Inch | Core i3 7th Gen | 4 GB | Windows 10 | 1 TB HDD)::576626::computer::laptops,362.712,Intel Core i3 (7th Gen),Intel,0,4,DDR4,2.3,LED,HD 620,Intel,0,1024,40,40W Adapter,15.6,Windows 10,"The 1Tb Included Drive Is Pretty Slow , But Battery Life And Processing Power Is Pretty Great .",1.6
1547,ASUS,ASUS Zenbook 14X OLED UM5401QA-KM541WS Laptop (14 Inch | AMD Hexa Core Ryzen 5 | 16 GB | Windows 11 | 512 GB SSD)::611666::computer::laptops,719.88,AMD Hexa-Core Ryzen 5,AMD,0,16,LPDDR4X,3.3,LED,Radeon,AMD,512,0,100,100W Adapter,14,Windows 11,"A Fantastic Product , With An Aluminum Frame , Touchscreen , And High Definition ; High Resolution Screen ; You Can ' T Beat This .",0.7
1548,ASUS,ASUS Vivobook X540YA-XO106D Laptop (15.6 Inch | AMD Quad Core A8 | 4 GB | DOS | 1 TB HDD)::578169::computer::laptops,263.88,AMD Quad-Core A8 APU,AMD,0,4,DDR3,2.2,LED,Radeon R5,AMD,0,1024,45,45W Adapter,15.6,DOS,This Computer Was Phenomenal For 12 Days And Then The Charger Broke And It Is No Longer Functional .,1.4
1549,HP,HP 15s-du0093tu (7NH54PA) Laptop (15.6 Inch | Core i3 8th Gen | 8 GB | Windows 10 | 1 TB HDD)::575749::computer::laptops,416.37600000000003,Intel Core i3 (8th Gen),Intel,0,8,DDR4,2.1,LED,UHD 620,Intel,0,1024,65,65W Adapter,15.6,Windows 10,I Do Not Recommend It At This Price Point .,1.0
1550,Dell,Dell Inspiron 14 3467 (B566101HIN9) Laptop (14 Inch | Core i3 6th Gen | 4 GB | Windows 10 | 1 TB HDD)::576939::computer::laptops,378.588,Intel Core i3 (6th Gen),Intel,8,4,DDR4,2.0,LED,HD 520,Intel,0,1024,0,Not Specified,14,Windows 10,The Keyboard Broke After Three Months And It Has Been Difficult To Get Any Help From The Manufacturer .,
1551,HP,HP 14q-cy0005au (7QG85PA) Laptop (14 Inch | AMD Dual Core A4 | 4 GB | Windows 10 | 256 GB SSD)::575877::computer::laptops,217.5,AMD Dual-Core A4 APU,AMD,0,4,DDR4,2.3,LED,Radeon R3,AMD,256,0,41,41W Adapter,14,Windows 10,It Is Working Really Well .,1.6
1552,Lenovo,Lenovo Ideapad S145 (81W800C3IN) Laptop (15.6 Inch | Core i3 10th Gen | 4 GB | Windows 10 | 256 GB SSD)::575365::computer::laptops,293.556,Intel Core i3 (10th Gen),Intel,0,4,DDR4,1.2,LED,UHD,Intel,256,0,65,65W Adapter,15.6,Windows 10,It Simply Refuses To Boot .,1.0
1553,HP,HP Pavilion 15-dk0010nr (6QZ94UA) Laptop (15.6 Inch | Core i5 9th Gen | 8 GB | Windows 10 | 256 GB SSD)::616484::computer::laptops,1463.988,Intel Core i5 (9th Gen),Intel,8,8,DDR4,2.4,LCD,"GeForce GTX 1050 GPU, 3 GB",NVIDIA,256,0,135, Upto 10 Hrs Battery Life,15.6,Windows 10,This Laptop Is Very Straight Forward .,10.0
1554,Lenovo,Lenovo Legion 5 (82B500FJIN) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 10 | 512 GB SSD)::584430::computer::laptops,809.88,AMD Hexa-Core Ryzen 5,AMD,16,8,DDR4,3.0,LED,"GeForce GTX 1650 GPU, 4 GB",NVIDIA,512,0,170,170W Adapter,15.6,Windows 10,"- The Keys , Often Described As Mushy , Still Have A Decent Click And Distance To Them .",0.4
1555,ASUS,ASUS TUF Gaming A15 FA506IHRZ-HN112W Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 1 TB SSD)::597658::computer::laptops,647.88,AMD Hexa-Core Ryzen 5,AMD,32,8,DDR4,4.0,LCD,"GeForce GTX 1650 GPU, 4 GB",NVIDIA,1024,0,150,150W Adapter,15.6,Windows 11,As Everyone Else Says ; The Keyboard Is Not Backlit .,0.4
1556,Lenovo,Lenovo Ideapad S340 (81VV00JFIN) Laptop (14 Inch | Core i3 10th Gen | 8 GB | Windows 10 | 256 GB SSD)::579817::computer::laptops,503.88,Intel Core i3 (10th Gen),Intel,0,8,DDR4,1.2,LED,UHD,Intel,256,0,65,65W Adapter,14,Windows 10,The Laptop Is A Little Bigger Than I Had Hoped And Heavier Than I Expected It To Feel .,1.0
1557,Apple,Apple MacBook Air M1 Z124J001KD Laptop (13.3 Inch | Apple M1 | 16 GB | macOS Big Sur | 256 GB SSD)::598245::computer::laptops,1312.68,Apple M1 Processor,Apple,16,16,DDR4,0.0,LCD,M1 Integrated,Apple,256,0,30, Upto 15 Hrs Battery Life,13.3,macOS,It Stutters And Pauses As You Switch Windows Or Use The ` ` Show All Windows ` ` Or ` ` Show Desktop ` ` Functions .,15.0
1558,iball,iball Excelance CompBook Laptop (11.6 Inch | Atom Quad Core | 2 GB | Windows 10 | 32 GB SSD)::578303::computer::laptops,138.0,Intel Atom Quad-Core,Intel,0,2,DDR3,1.3,LED,HD,Intel,32,0,0,Upto 8.5 Hrs Battery Life,11.6,Windows 10,The Keyboard Is Stiff And Unresponsive To My Typing At Times .,8.5
1559,ASUS,ASUS ROG Strix GL503GE-EN038T Laptop (15.6 Inch | Core i7 8th Gen | 16 GB | Windows 10 | 1 TB HDD 256 GB SSD)::577117::computer::laptops,1199.88,Intel Core i7 (8th Gen),Intel,32,16,DDR4,2.2,LED,"Geforce GTX 1050 Ti GPU, 4 GB",NVIDIA,256,1024,150,150W Adapter,15.6,Windows 10,"I Love That It Is Only As Big As It Needs To Be To Have A Full - Size Keyboard ( Not With A Number Pad , But Full - Sized Keys ) .",0.4
1560,ASUS,ASUS Vivobook X540YA-XO106T Laptop (15.6 Inch | AMD Quad Core A8 | 4 GB | Windows 10 | 1 TB HDD)::577526::computer::laptops,299.988,AMD Quad-Core A8 APU,AMD,8,4,DDR3,2.2,LED,Radeon R5,AMD,0,1024,45,45W Adapter,15.6,Windows 10,"Nice Build Quality , Very Fast And Beautiful Display .",1.4
1561,Dell,Dell Inspiron 15 7570 (A569503WIN9) Laptop (15.6 Inch | Core i7 8th Gen | 8 GB | Windows 10 | 1 TB HDD 256 GB SSD)::577406::computer::laptops,1108.584,Intel Core i7 (8th Gen),Intel,32,8,DDR4,1.8,LED,"Geforce 940MX GPU, 4 GB",NVIDIA,256,1024,42,42W Adapter,15.6,Windows 10,But Overall A Good Laptop For Productivity .,1.5
1562,Acer,Acer Nitro 5 AN515-43-R3JU (NH.Q6ZSI.001) Laptop (15.6 Inch | AMD Quad Core Ryzen 5 | 8 GB | Windows 10 | 1 TB HDD)::579956::computer::laptops,659.88,AMD Quad-Core Ryzen 5,AMD,32,8,DDR4,2.1,LED,"Geforce GTX 1650 GPU, 4 GB",NVIDIA,0,1024,135,135W Adapter,15.6,Windows 10,Can Not Remove The Battery .,0.5
